Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Kid Cat,,,,Cat,Male,Jock,B,Fitness,8/1,psst,Go K.K. Rider,Crime doesn't pay!,Active,Simple,Red,Red,6888,vinyl umbrella,chain-link fence,sandlot,1452;2556;7845;1567;144;2614;4226;3672;787,weight bench;garbage pail;pull-up-bar stand;oil barrel;manhole cover;mountain bike;basketball hoop;cardboard box;tape deck,1.0.0,#fffad4,#ff4040,cat10,Jd6z54x98v4uJhubB
Kidd,,,,Goat,Male,Smug,B,Education,6/28,wut,K.K. Tango,"Be yourself, everyone else is already taken.",Elegant,Cool,Gray,White,3474,logo umbrella,gray molded-panel wall,purple desert-tile flooring,2554;4052;4080;4129;2776;1851;742;794;4046;4030;4114;4017,double sofa;rattan bed;long bathtub;monstera;tankless toilet;rocket lamp;fireplace;phonograph;rattan end table;bathroom towel rack;tissue box;shower set,1.0.0,#4f5d72,#d9d9ff,goa07,Pv4qNLnQ4NquvddfQ
Kiki,,,,Cat,Female,Normal,B,Education,10/8,kitty cat,Only Me,"Nothing ventured, nothing gained.",Simple,Simple,Brown,Beige,3579,sunny parasol,mod wall,simple white flooring,3950;1081;3952;8465;3271;4003;915;3270;3943,antique chair;upright piano;antique table;velvet stool;ironwood cupboard;cute music player;cuckoo clock;ironwood kitchenette;ironwood DIY workbench,1.0.0,#fffce9,#515151,cat04,QTwru2TFs99vCznLg
Kitt,,,,Kangaroo,Female,Normal,B,Education,10/11,child,Stale Cupcakes,Funny parents have funny kids.,Elegant,Simple,Purple,Red,4290,eggy parasol,arched-window wall,simple white flooring,4041;1081;3681;3270;4043;4027;3282;6818;5543;742;8395;9547;88;794;1495,log bed;upright piano;piano bench;ironwood kitchenette;log round table;floral swag;pop-up toaster;ornament mobile;wooden-blockstool;fireplace;yellow kitchen mat;yellow small round mat;ringtoss;phonograph;dolly,1.0.0,#fffce9,#c0ab72,kgr00,jjReK7y42rnNZmQe6
Kitty,,,,Cat,Female,Snooty,B,Fashion,2/15,mrowrr,K.K. Chorale,"If you want something done well, do it yourself.",Elegant,Gorgeous,Green,Gray,8954,striped umbrella,blue molded-panel wall,arabesque flooring,3951;3957;1081;2554;3681;4106;742;794,antique console table;antique bed;upright piano;double sofa;piano bench;pendulum clock;fireplace;phonograph,1.0.0,#fffce9,#c0ab72,cat14,E6MnPthbMdNSvhHE5
Klaus,,,,Bear,Male,Smug,A,Education,3/31,strudel,K.K. Sonata,Pride goes before a fall.,Simple,Simple,Gray,White,3570,two-tone umbrella,stately wall,stone tile,1840;4098;2776;3468;4073;5959;5956;5338;794;4017,whirlpool bath;bidet;tankless toilet;beach towel;classic pitcher;Cancer table;Aquarius urn;simple panel;phonograph;shower set,1.0.0,#498992,#acc8cf,bea14,cFgAWnZ4nhq7DfrN7
Knox,,,,Chicken,Male,Cranky,B,Education,11/23,cluckling,K.K. Chorale,A chicken's coop is its castle.,Elegant,Gorgeous,Brown,Red,8229,two-tone umbrella,palace wall,palace tile,1081;5956;7348;7348;8825;8825;8825;8825;3772;3772;3772;3772;5959;794,upright piano;Aquarius urn;red carpet;red carpet;golden casket;golden casket;golden casket;golden casket;golden candlestick;golden candlestick;golden candlestick;golden candlestick;Cancer table;phonograph,1.0.0,#8b5f57,#d8cc39,chn11,25GGGSHzwEnKmepJk
Kody,,,,Cub,Male,Jock,B,Fitness,9/28,grah grah,My Place,The sky's the limit!,Active,Simple,Colorful,White,8477,orange umbrella,blue playroom wall,blue dot flooring,4759;4761;3439;5543;3122;4762;3438;3449;4111;2560;4756;4753;4003,throwback race-car bed;throwback rocket;wooden table;wooden-blockstool;mini DIY workbench;throwback container;wooden end table;wooden stool;old-fashioned alarm clock;wooden chest;throwback wall clock;throwback wrestling figure;cute music player,1.0.0,#fffce9,#55cfff,cbr04,j9pPANZ9zsm6Mobh2
Kyle,,,,Wolf,Male,Smug,A,Music,12/6,alpha,K.K. Metal,Never trust a sheep in wolf's clothing.,Gorgeous,Cool,Black,White,3676,spider umbrella,gray shanty wall,steel flooring,1875;3681;1803;950;4338;9503;1645;1412;849;7161,grand piano;piano bench;drum set;effects rack;portable record player;mic stand;electric guitar;TV camera;amp;cardboard bed,1.0.0,#fffce9,#e8b010,wol10,Q68JosFG2FvzG7QC3
Leonardo,,,,Tiger,Male,Jock,B,Fitness,5/15,flexin',K.K. Metal,That's the way the energy bar crumbles.,Active,Gorgeous,Red,Blue,4343,red umbrella,skull wall,leopard-print flooring,8096;4441;4138;3943;3200;7525;1644;950;7257;7528;3672;4687;1850;796,record box;diner mini table;diner counter chair;ironwood DIY workbench;ironwood bed;tool shelf;rock guitar;effects rack;pedal board;tool cart;cardboard box;toolbox;laptop;retro stereo,1.0.0,#9b553a,#ffd00d,tig04,bZqAHvDsp82Ptify8
Leopold,,,,Lion,Male,Smug,A,Education,8/14,lion cub,Mr. K.K.,"The bigger the fish, the bigger your dinner.",Elegant,Gorgeous,Purple,Green,3599,logo umbrella,green painted-wood wall,natural-block flooring,1326;833;3584;2014;3968;2014;4099;870;1330;3428;1750;2013;833,skeleton;upright locker;writing poster;lecture-hall desk;homework set;lecture-hall desk;formal paper;book stands;basic teacher's desk;wall-mounted TV (50 in.);document stack;lecture-hall bench;upright locker,1.0.0,#fffce9,#e4b887,lon04,nn3GdKz434cBryvyC
Lily,,,,Frog,Female,Normal,B,Education,2/4,toady,Farewell,Don't jump to conclusions!,Cute,Simple,White,Yellow,9576,petal parasol,misty-garden wall,blue dot flooring,3251;4052;1757;4017;3445;3683;5543;4048;4046;4003;4054;7234;9766;3400;4030;5338;5338,gas range;rattan bed;claw-foot tub;shower set;standard umbrella stand;plain sink;wooden-blockstool;rattan towel basket;rattan end table;cute music player;rattan low table;hyacinth lamp;mini fridge;dish-drying rack;bathroom towel rack;simple panel;simple panel,1.0.0,#fffce9,#00d1bd,flg00,CQG32Qp7hhepeaRbg
Limberg,,,,Mouse,Male,Cranky,B,Education,10/17,squinky,K.K. Folk,Don't build a better mousetrap.,Simple,Cool,Green,Blue,3164,bat umbrella,autumn wall,mossy-garden flooring,10743;7408;1111;4271;4271;7788;7390,bamboo speaker;maple-leaf pond stone;outdoor bath;red-leaf pile;red-leaf pile;leaf campfire;leaf stool,1.0.0,#874c25,#ffaa3b,mus01,BnXXdXegMXE9HmZiy
Lionel,,,,Lion,Male,Smug,A,Music,7/29,precisely,K.K. Moody,Love is blind.,Gorgeous,Active,Green,Gray,3171,green umbrella,cityscape wall,simple blue flooring,1840;3957;2554;3958;3951;794;3784;9766;2731;3783,whirlpool bath;antique bed;double sofa;antique mini table;antique console table;phonograph;den chair;mini fridge;digital alarm clock;den desk,1.0.0,#fffce9,#e4b887,lon08,EQYQEL4crTYEN9yJs
Lobo,,,,Wolf,Male,Cranky,B,Education,11/5,ah-rooooo,K.K. Rock,"If it's not one thing, it's another.",Cool,Active,Black,Beige,4401,paper parasol,rustic-stone wall,rosewood flooring,793;4037;8417;4041;4044;3064;4036;4043;4119;2770;3943;3992;3967,high-end stereo;log wall-mounted clock;wall-mounted tool board;log bed;log extra-long sofa;cooler box;log decorative shelves;log round table;macrame tapestry;chessboard;ironwood DIY workbench;key holder;broom and dustpan,1.0.0,#fffce9,#7352e8,wol01,9QsHyDimk75LPvBsn
Lolly,,,,Cat,Female,Normal,B,Music,3/27,bonbon,Forest Life,Laughter is the best medicine.,Simple,Simple,Gray,Pink,3631,snowflake umbrella,modern wood wall,green vinyl flooring,2554;1557;4109;3449;1561;4338;1558;998;3122;4111;3208;3785;3785,double sofa;wooden-block bed;double-door refrigerator;wooden stool;wooden-block chest;portable record player;wooden-block bookshelf;kitchen island;mini DIY workbench;old-fashioned alarm clock;wooden-block wall clock;potted ivy;potted ivy,1.0.0,#85a2af,#bff2ff,cat18,ucvTsRXewrZsFj64Y
Lopez,,,,Deer,Male,Smug,A,Education,8/20,badoom,K.K. Jazz,Always look both ways before crossing the street.,Gorgeous,Gorgeous,Gray,Gray,4507,gelato umbrella,modern wood wall,modern wood flooring,4117;2713;3200;1103;3270;3951;4338;3275;3340;3195;954;3271;1043;3993;7334;704,wood-burning stove;refrigerator;ironwood bed;rocking chair;ironwood kitchenette;antique console table;portable record player;ironwood clock;deer decoration;ironwood cart;espresso maker;ironwood cupboard;microwave;analog kitchen scale;ivory small round mat;tapestry,1.0.0,#fffce9,#e8b010,der05,wBJRdKXMHcPyHDPEj
Louie,,,,Gorilla,Male,Jock,A,Fitness,3/26,hoo hoo ha,K.K. Fusion,It's all about the muscle.,Active,Simple,Gray,Red,4267,vinyl umbrella,white perforated-board wall,colorful tile flooring,4015;1452;7528;1232;833;7845;287;4013;1816;3307;4046;787;546;3428;4099;7380;7380;4133;7800,shower booth;weight bench;tool cart;water cooler;upright locker;pull-up-bar stand;exercise bike;punching bag;changing room;digital scale;rattan end table;tape deck;stadiometer;wall-mounted TV (50 in.);formal paper;natural wooden-deck rug;natural wooden-deck rug;double-sided wall clock;protein shaker bottle,1.0.0,#fffce9,#d86808,gor04,emwaesnBa9EmWvW89
Lucha,,,,Bird,Male,Smug,A,Fitness,12/12,cacaw,K.K. Western,"Birds of a feather, et cetera, et cetera...",Active,Cool,Black,Gray,7199,camo umbrella,ringside seating,boxing-ring mat,1452;4013;7151;7152;7653;7528;1708,weight bench;punching bag;red corner;neutral corner;speed bag;tool cart;cassette player,1.0.0,#fffad4,#ff4040,brd15,se8G8LxivnMhgBiRE
Lucky,,,,Dog,Male,Lazy,B,Play,11/4,rrr-owch,K.K. Dirge,Don't bite the hand that feeds you.,Simple,Simple,Beige,White,4715,orange umbrella,ramshackle wall,swamp flooring,2592;343;343;3446;3446;3446;4271;1326;4757,tin bucket;tiki torch;tiki torch;western-style stone;western-style stone;western-style stone;red-leaf pile;skeleton;throwback skull radio,1.0.0,#848484,#ffffff,dog02,WtvwKvChcpgZ4WcQB
Lucy,,,,Pig,Female,Normal,B,Music,6/2,snoooink,K.K. Sonata,The best is yet to come.,Cute,Elegant,Pink,Red,4403,cherry umbrella,heavy-curtain wall,wooden-knot flooring,7348;7348;1875;7348;7348;3681;3958;794;7529;7529;7529;7529;1221;7527;7527,red carpet;red carpet;grand piano;red carpet;red carpet;piano bench;antique mini table;phonograph;folding chair;folding chair;folding chair;folding chair;video camera;flower stand;flower stand,1.0.0,#848484,#ffffff,pig04,8FpMvE2W6YJtmTpiQ
Lyman,,,,Koala,Male,Jock,A,Play,10/12,chips,K.K. Safari,Eucalyptus is the spice of life.,Simple,Active,Aqua,Yellow,3677,tartan-check umbrella,jungle wall,light parquet flooring,3623;3943;2605;4129;1913;3439;7353;2560;7454;4757,toy box;ironwood DIY workbench;wooden simple bed;monstera;wooden chair;wooden table;botanical rug;wooden chest;wooden toolbox;throwback skull radio,1.0.0,#878e86,#a8e989,kal09,cnByupc7McZQg8sNJ
Mac,,,,Dog,Male,Jock,B,Fitness,11/11,woo woof,My Place,Sometimes life is rough.,Active,Cool,Red,Black,2674,camo umbrella,ivy wall,sandlot,1631;7142;1799;3348;7802;3229;1620;4113;4393;4042;1432;3697,garden faucet;simple DIY workbench;doghouse;plastic pool;pet bed;clothesline;hammock;hose reel;old-fashioned washtub;log bench;lantern;portable radio,1.0.0,#fffce9,#e8b010,dog14,bLyixhvrCHgBYzvoX
Maddie,,,,Dog,Female,Peppy,A,Play,1/11,yippee,K.K. Stroll,The IT revolution is under way.,Simple,Cute,Purple,Pink,8378,picnic umbrella,meadow vista,wildflower meadow,4003;6033;7599;975;2614;3962;3064;1082;4042;3619;3960;7463,cute music player;outdoor picnic set;board game;fruit basket;mountain bike;inflatable sofa;cooler box;picnic basket;log bench;soup kettle;handy water cooler;peach checked rug,1.0.0,#fffce9,#e8b010,dog09,ebHEDLT4WnnnPtDzK
Maelle,,,,Duck,Female,Snooty,B,Fashion,4/8,duckling,Café K.K.,A wise duck takes care of its bill.,Cool,Simple,Pink,White,3597,Toad parasol,tree-lined wall,sidewalk flooring,1626;1626;7236;1185;4412;1866;1627;3270;918;954;2014;8297;1092,iron garden chair;iron garden chair;lily record player;phone box;cotton-candy stall;menu chalkboard;iron garden table;ironwood kitchenette;coffee cup;espresso maker;lecture-hall desk;stovetop espresso maker;popcorn machine,1.0.0,#9b553a,#ffd00d,duk03,bHTDLovALeQz9PK4z
Maggie,,,,Pig,Female,Normal,A,Nature,9/3,schep,Drivin',All a plant needs is love...and sun and water and soil.,Cute,Elegant,Green,Yellow,8886,petal parasol,backyard-fence wall,flagstone flooring,8419;8419;8419;1626;1627;3943;4003;1625;1628,garden wagon;garden wagon;garden wagon;iron garden chair;iron garden table;ironwood DIY workbench;cute music player;iron garden bench;garden lantern,1.0.0,#9b553a,#ffd00d,pig10,ByLM9r2q7mRAMbgXs
Mallary,,,,Duck,Female,Snooty,B,Fashion,11/17,quackpth,K.K. Bossa,Purple is the color of royalty.,Cool,Gorgeous,Blue,White,2655,striped umbrella,mossy-garden wall,backyard lawn,1631;4113;4003;4100;3775;3509;1829;1628;1624;8419,garden faucet;hose reel;cute music player;fire pit;hanging terrarium;garden bench;cypress plant;garden lantern;garden gnome;garden wagon,1.0.0,#fffce9,#a06fce,duk06,jhXJGTWpk3ycr6kZC
Maple,,,,Cub,Female,Normal,B,Education,6/15,honey,Forest Life,"Waste not, want not.",Simple,Cute,Beige,Green,8194,candy umbrella,green blossoming wall,wooden-knot flooring,3251;2605;1032;865;4117;7144;3949;3438;4003;9766;1125;4119;7466;7134;3586;1870;928;1501,gas range;wooden simple bed;magazine rack;birdcage;wood-burning stove;Mom's cushion;anthurium plant;wooden end table;cute music player;mini fridge;revolving spice rack;macrame tapestry;retro dotted rug;wooden low table;magazine;mug;pot rack;Baby bear,1.0.0,#fffce9,#a87850,cbr01,xgPhy4TnDmnzSkZ6o
Marcel,,,,Dog,Male,Lazy,B,Play,12/31,non,Comrade K.K.,There's not a dog so bad that he won't wag his tail.,Simple,Cool,Green,Blue,4407,paper parasol,modern shoji-screen wall,rush tatami,4393;3622;1849;3230;7047;10743;725;7323;7048;7323;717;10742;329,old-fashioned washtub;floor seat;kotatsu;futon;zen cushion;bamboo speaker;paper lantern;brown wooden-deck rug;pile of zen cushions;brown wooden-deck rug;clay furnace;bamboo stool;goldfish,1.0.0,#848484,#ffffff,dog15,63FsmgrS7QPpFvL3N
Marcie,,,,Kangaroo,Female,Normal,A,Nature,5/31,pouches,K.K. Aria,The road to a friend's house is never long.,Cute,Elegant,Pink,Beige,4429,pink shiny-bows parasol,pink quilt wall,pine-board flooring,7134;7336;3616;7531;2740;4109;88;2560;7132;4003;3305;9542;3996;9565,wooden low table;white simple small mat;system kitchen;ironing board;automatic washer;double-door refrigerator;ringtoss;wooden chest;wooden double bed;cute music player;baby chair;Mom's playful kitchen mat;cute wall-mounted clock;mobile,1.0.0,#fffce9,#f993ce,kgr10,mSJuJRK54zTu3BkHr
Margie,,,,Elephant,Female,Normal,B,Education,1/28,tootie,K.K. Marathon,Keep your feet on the ground.,Elegant,Cute,Pink,Red,3248,hydrangea umbrella,olive desert-tile wall,bamboo flooring,4051;3971;4052;4130;4047;4046;3974;4045;1792;4129;997;4033;4054;4338,rattan vanity;imperial partition;rattan bed;coconut wall planter;rattan stool;rattan end table;imperial low table;rattan waste bin;cushion;monstera;incense burner;traditional tea set;rattan low table;portable record player,1.0.0,#848484,#ffffff,elp04,rnFzZ3Z4gFAv6ouqG
Marina,,,,Octopus,Female,Normal,B,Music,6/26,blurp,Soulful K.K.,"If you can't say something nice, don't say anything at all.",Cute,Cute,Pink,Red,3635,candy umbrella,strawberry-chocolate wall,berry-chocolates flooring,1757;3624;4002;3998;2776;3995;4001;4000;4003,claw-foot tub;cute bed;cute floor lamp;cute sofa;tankless toilet;cute DIY table;cute vanity;cute tea table;cute music player,1.0.0,#fffce9,#f993ce,ocp01,BQCu2GxBFFTuigDAY
Marshal,,,,Squirrel,Male,Smug,A,Music,9/29,sulky,K.K. Bossa,Seize the day.,Elegant,Cool,Aqua,Blue,4277,logo umbrella,blue delicate-blooms wall,modern wood flooring,2554;1081;3681;9766;1161;3615;1845;8394;3271;3560;915;7337;4338;920;954;8297;1866;3194;918,double sofa;upright piano;piano bench;mini fridge;cream and sugar;open-frame kitchen;simple kettle;blue kitchen mat;ironwood cupboard;iron worktable;cuckoo clock;iron entrance mat;portable record player;coffee grinder;espresso maker;stovetop espresso maker;menu chalkboard;ironwood low table;coffee cup,1.0.0,#848484,#ffffff,squ17,ZZJJbE5zFrcDXfLEF
Mathilda,,,,Kangaroo,Female,Snooty,B,Fitness,11/12,wee baby,K.K. Chorale,Nail polish is thicker than water.,Cool,Gorgeous,White,Red,3261,patterned vinyl umbrella,blue delicate-blooms wall,arabesque flooring,3615;3957;83;5543;3623;3952;915;3206;3958;3951;4069;794;7284,open-frame kitchen;antique bed;rocking horse;wooden-blockstool;toy box;antique table;cuckoo clock;wooden-block toy;antique mini table;antique console table;table lamp;phonograph;nutcracker,1.0.0,#fffce9,#515151,kgr01,GSsfXWFSF3FEdbcjA
Megan,,,,Bear,Female,Normal,A,Nature,3/13,sundae,Forest Life,"Take a page out of someone else's book, if it's a good book.",Cute,Simple,Yellow,Aqua,4406,raindrop umbrella,honeycomb wall,dark herringbone flooring,2605;3251;3406;1277;3962;3122;4080;3562;928;3683;3438;4030;8826;9766;3400,wooden simple bed;gas range;beekeeper's hive;cacao tree;inflatable sofa;mini DIY workbench;long bathtub;iron wall rack;pot rack;plain sink;wooden end table;bathroom towel rack;wooden table mirror;mini fridge;dish-drying rack,1.0.0,#fffce9,#ec7efc,bea15,tgsKz4BX3wxFRFrFZ
Melba,,,,Koala,Female,Normal,B,Education,4/12,toasty,K.K. Stroll,A friend who shares is a friend who cares.,Cute,Cute,White,Green,4399,strawberry umbrella,blue blossoming wall,green-paint flooring,3683;4003;4132;3445;2605;7137;3436;3428;3438;2740;7134;1792;4111;7353;3785;4308,plain sink;cute music player;yucca;standard umbrella stand;wooden simple bed;wooden full-length mirror;wooden wardrobe;wall-mounted TV (50 in.);wooden end table;automatic washer;wooden low table;cushion;old-fashioned alarm clock;botanical rug;potted ivy;unfinished puzzle,1.0.0,#fffce9,#e4b887,kal02,sLBs68aveqtjT8HZJ
Merengue,,,,Rhino,Female,Normal,A,Nature,3/19,shortcake,K.K. Ballad,Life is a piece of cake.,Cute,Simple,White,Red,3177,lacy parasol,pastel dotted wall,mint dot flooring,4109;1866;3998;998;4000;3697;3785;7134;1161;3467;4139;1043;4019;3416,double-door refrigerator;menu chalkboard;cute sofa;kitchen island;cute tea table;portable radio;potted ivy;wooden low table;cream and sugar;tea set;diner counter table;microwave;stand mixer;soft-serve lamp,1.0.0,#634b4b,#f2bdc7,rhn07,qxaecyD6f6aHuNZKK
Merry,,,,Cat,Female,Peppy,B,Fashion,6/29,mweee,Neapolitan,A smile increases your face value.,Cute,Cute,Pink,Aqua,3635,fairy-tale umbrella,beaded-curtain wall,orange retro flooring,4132;1227;2554;2713;790;3616;3439;1913;4130,yucca;deluxe washer;double sofa;refrigerator;hi-fi stereo;system kitchen;wooden table;wooden chair;coconut wall planter,1.0.0,#879b96,#fff98f,cat16,uhd4aEuBudwu9pM6E
Midge,,,,Bird,Female,Normal,B,Education,3/12,tweedledee,K.K. Stroll,"When the world gets cold, just fly south.",Cute,Simple,Pink,Pink,9128,petal parasol,yellow quilt wall,cute white-tile flooring,3995;7134;3999;1757;3996;3624;3997;4001;4000;4003;3998,cute DIY table;wooden low table;cute chair;claw-foot tub;cute wall-mounted clock;cute bed;cute wardrobe;cute vanity;cute tea table;cute music player;cute sofa,1.0.0,#fffce9,#ec7efc,brd08,WSnecxx3DREYtZ3p3
Mint,,,,Squirrel,Female,Snooty,B,Fashion,5/2,ahhhhhh,K.K. Soul,Always lead by example.,Gorgeous,Cute,Pink,Purple,2686,peach umbrella,blue subway-tile wall,mint dot flooring,4052;4053;7236;4049;4046;4015;4051;3683;4027;4030;4054;3467,rattan bed;rattan armchair;lily record player;rattan wardrobe;rattan end table;shower booth;rattan vanity;plain sink;floral swag;bathroom towel rack;rattan low table;tea set,1.0.0,#219479,#87e0a9,squ09,TgwEuBB4kt96EXAvt
Mira,,,,Rabbit,Female,Big Sister,A,Fitness,7/6,cottontail,Go K.K. Rider,Always help a friend in need.,Active,Cool,Red,Yellow,9483,rainbow umbrella,heavy-curtain wall,wooden-knot flooring,7529;7529;7529;531;1708;7524;533;533;530;533;531;4763;4763;7524;530;531;531;4763,folding chair;folding chair;folding chair;hedge standee;cassette player;simple medium avocado mat;tree standee;tree standee;grass standee;tree standee;hedge standee;throwback dino screen;throwback dino screen;simple medium avocado mat;grass standee;hedge standee;hedge standee;throwback dino screen,1.0.0,#9b8986,#fff80d,rbt19,ycquvbgfbCzktuLvn
Miranda,,,,Duck,Female,Snooty,B,Fashion,4/23,quackulous,K.K. Sonata,"If the world is flooded, it will be easy for the duck.",Elegant,Gorgeous,Blue,Purple,3387,lacy parasol,arched-window wall,brown iron-parquet flooring,1840;3957;3955;2554;987;3958;794;3974;4129;4106,whirlpool bath;antique bed;antique vanity;double sofa;harp;antique mini table;phonograph;imperial low table;monstera;pendulum clock,1.0.0,#fffce9,#ec7efc,duk12,9AE7bEWmthdc7kZ4m
Mitzi,,,,Cat,Female,Normal,B,Education,9/25,mew,K.K. Love Song,Practice makes purrrfect!,Simple,Simple,Brown,Beige,2686,raindrop umbrella,blue painted-wood wall,light herringbone flooring,2560;3251;2605;2713;7134;3562;7133;7136;1288,wooden chest;gas range;wooden simple bed;refrigerator;wooden low table;iron wall rack;wooden mini table;cat grass;fan palm,1.0.0,#fffce9,#7fa9ff,cat01,4DpkbYXeoySwonvkS
Moe,,,,Cat,Male,Lazy,B,Play,1/12,myawn,Two Days Ago,Ignorance is bliss.,Active,Simple,Black,Gray,7975,pineapple umbrella,blue subway-tile wall,stripe flooring,3995;7134;1561;4003;3208;4759;4762;3623;1559;4761,cute DIY table;wooden low table;wooden-block chest;cute music player;wooden-block wall clock;throwback race-car bed;throwback container;toy box;wooden-block bench;throwback rocket,1.0.0,#fffce9,#0961f6,cat08,EYRuj39J5cS5eYuPD
Molly,,,,Duck,Female,Normal,A,Nature,3/7,quackidee,K.K. Ballad,Like water off a duck's back.,Cute,Simple,Yellow,Pink,8885,white shiny-bows parasol,lattice wall,light herringbone flooring,3956;2605;2772;2554;1058;4125;3785;7134;2560;3467;7334;7465;4003;4132,antique bureau;wooden simple bed;fancy violin;double sofa;music stand;wooden bookshelf;potted ivy;wooden low table;wooden chest;tea set;ivory small round mat;red dotted rug;cute music player;yucca,1.0.0,#fffce9,#e8b010,duk16,4RLK74MDFhcXAQeuL
Monique,,,,Cat,Female,Snooty,B,Fashion,9/30,pffffft,K.K. Cruisin',All publicity is good publicity!,Gorgeous,Elegant,Purple,Pink,7887,purple chic umbrella,beige desert-tile wall,rosewood flooring,4054;4051;4015;7236;4045;4049;4052;4047;4053;1227;4030;4046;4050;929;4048,rattan low table;rattan vanity;shower booth;lily record player;rattan waste bin;rattan wardrobe;rattan bed;rattan stool;rattan armchair;deluxe washer;bathroom towel rack;rattan end table;rattan table lamp;air conditioner;rattan towel basket,1.0.0,#879b96,#fff98f,cat11,6rhSBCp2M4wcM9cRG
Monty,,,,Monkey,Male,Cranky,B,Education,12/7,g'tang,To The Edge,No news is good news.,Cool,Cool,Yellow,Gray,3687,camo umbrella,autumn wall,forest flooring,10743;7142;3808;3805;808;4708;805;3806,bamboo speaker;simple DIY workbench;mush log;mush parasol;mush table;mush low stool;mush lamp;mush partition,1.0.0,#498992,#acc8cf,mnk04,AB2WWajw4nPsxsQ5h
Moose,,,,Mouse,Male,Jock,B,Fitness,9/13,shorty,K.K. Rockabilly,A cornered rat will summon the courage to bite a cat.,Cool,Gorgeous,Purple,Red,6822,gelato umbrella,concrete wall,blue camo flooring,791;863;3563;3559;3200;1087;937;7348;4141,jukebox;billiard table;iron shelf;iron wall lamp;ironwood bed;pinball machine;dartboard;red carpet;diner sofa,1.0.0,#fffce9,#7fa9ff,mus14,bqireWGDZg56QP8JF
Mott,,,,Lion,Male,Jock,B,Fitness,7/10,cagey,K.K. Fusion,The lion's share goes to the lion.,Active,Elegant,Blue,Green,4306,camo umbrella,green molded-panel wall,pine-board flooring,4125;2560;4003;3584;7132;3701;3490;1241;3702;3438;4111,wooden bookshelf;wooden chest;cute music player;writing poster;wooden double bed;writing desk;wooden waste bin;DIY workbench;writing chair;wooden end table;old-fashioned alarm clock,1.0.0,#8b5f57,#d8cc39,lon06,upZ67GQyTzKPGCLm8
Muffy,,,,Sheep,Female,Big Sister,A,Music,2/14,nightshade,K.K. Sonata,There's a black sheep in every family.,Gorgeous,Elegant,Black,Purple,3385,black chic umbrella,black botanical-tile wall,purple desert-tile flooring,1153;3449;7236;9642;1127;4027;1227;4048;7531;3957;3943;3560;7337;3442;1128,spinning wheel;wooden stool;lily record player;iron closet;old sewing machine;floral swag;deluxe washer;rattan towel basket;ironing board;antique bed;ironwood DIY workbench;iron worktable;iron entrance mat;sturdy sewing box;sewing machine,1.0.0,#fffce9,#515151,shp12,BMbfDZTTqMr8T4Jvt
Murphy,,,,Cub,Male,Cranky,A,Education,12/29,malarkey,K.K. Safari,"More money, more problems.",Simple,Cool,Blue,White,8323,maple-leaf umbrella,woodland wall,jungle flooring,5972;7142;343;4038;787;7393;4043;1432;4035,wild log bench;simple DIY workbench;tiki torch;log stool;tape deck;pond stone;log round table;lantern;log garden lounge,1.0.0,#28665a,#78dd62,cbr07,Nw4ojqKpHxBQfEqqo
Nan,,,,Goat,Female,Normal,B,Nature,8/24,kid,K.K. Étude,Nanny-nanny boo-boo!,Simple,Elegant,Orange,Yellow,2677,raindrop umbrella,black botanical-tile wall,white iron-parquet flooring,1875;3681;998;2554;4046;4054;4338;4114;6503;4052;4051,grand piano;piano bench;kitchen island;double sofa;rattan end table;rattan low table;portable record player;tissue box;Chevre's photo;rattan bed;rattan vanity,1.0.0,#fffce9,#515151,goa01,oGFWxL6p7g9Hq5LWK
Nana,,,,Monkey,Female,Normal,B,Education,8/23,po po,K.K. Ballad,Bread always falls peanut-butter side down.,Cute,Cute,Pink,White,4766,picnic umbrella,pastel dotted wall,cork flooring,2605;3616;3949;3439;2560;7465;4003;7133;1836;1913;929,wooden simple bed;system kitchen;anthurium plant;wooden table;wooden chest;red dotted rug;cute music player;wooden mini table;humidifier;wooden chair;air conditioner,1.0.0,#fffce9,#ec7efc,mnk01,z95tvdzwWsxjXbpqP
Naomi,,,,Cow,Female,Snooty,A,Fashion,2/28,moolah,K.K. Milonga,Moo like there's no tomorrow.,Elegant,Gorgeous,Colorful,Purple,7926,spider umbrella,red art-deco wall,lobby flooring,794;3957;3951;3956;3959;3950;2554;3954;3955;3953,phonograph;antique bed;antique console table;antique bureau;antique wardrobe;antique chair;double sofa;antique clock;antique vanity;antique phone,1.0.0,#fffce9,#3fd8e0,cow07,3EXPYiDinngndhDng
Nate,,,,Bear,Male,Lazy,B,Play,8/16,yawwwn,Forest Life,Be true to yourself.,Simple,Simple,White,Green,4566,watermelon umbrella,woodland wall,daisy meadow,1759;1157;5635;4038;4035;4043;4038;1266;3697;5972,stack of books;brick oven;tiny library;log stool;log garden lounge;log round table;log stool;barrel;portable radio;wild log bench,1.0.0,#fffce9,#e8b010,bea05,h2nAg5RGkR7NEnSQq
